aDate;aDateEpochUnix;bTweetText;bTweetTextLang;cFromWhom;cToWhom;dataTweetId;dataPermalinkPath;dataUserId;dataName;dataScreenName;eProfileTweetActionReply;eProfileTweetActionRetweet;eProfileTweetActionFavorite;fSearchedWithThisKeyword
11 Mar 2014;1394557642;Pollution aux particules : plusieurs r égions Fran çaises touch ées  http://www.developpement-durable.gouv.fr/Pollution-aux-particules-plusieurs.html …;fr;Adrien Bergeron ;@Adrien_Bergeron;443433008956452864;https://twitter.com/Adrien_Bergeron/status/443433008956452864;2291476945;Adrien Bergeron ;Adrien_Bergeron;;;;pollution OR pollutions
11 Mar 2014;1394557629;@HerveMorel fait une première intervention sur la pollution de l'air. #ledebatdu11e #urgence #priorite #vivremieux;fr;EELV Paris 11 ;@EELVParis11;443432953188995072;https://twitter.com/EELVParis11/status/443432953188995072;1229330833;EELV Paris 11;EELVParis11;;;;pollution OR pollutions
11 Mar 2014;1394557465;Pollution aux particules : plusieurs régions Françaises touchées http://bit.ly/1ixh5xs ;fr;Etienne De Backer ;@DeBacker713;443432264513642496;https://twitter.com/DeBacker713/status/443432264513642496;1334018989;Etienne De Backer;DeBacker713;;;;pollution OR pollutions
11 Mar 2014;1394557402;Comment se protéger contre la pollution aux particules fines? http://www.20minutes.fr/societe/1320358-comment-se-proteger-contre-la-pollution-aux-particules-fines …;fr;Le Clech Christina ;@du6du7;443432003137200128;https://twitter.com/du6du7/status/443432003137200128;548765814;Le Clech Christina;du6du7;;;;pollution OR pollutions
11 Mar 2014;1394557402;Paris rattrape Beijing #smog #productivité @Denis_Baupin: “@Airparif: La #pollution à Paris élevée aujourd’hui (indice 85/100) et demain;fr;ΛliX ;@AlixDre;443432002952654848;https://twitter.com/AlixDre/status/443432002952654848;14982370;ΛliX;AlixDre;;;1;pollution OR pollutions
11 Mar 2014;1394557370;RT @FlorentPEIFFER Après “Trouvez Charlie” le nouveau jeu : “Trouvez la Tour Eiffel” #pollution ;fr;Enfant du Monde ;@MoiJeMoiJe;443431868504215552;https://twitter.com/MoiJeMoiJe/status/443431868504215552;237817962;Enfant du Monde;MoiJeMoiJe;;;;pollution OR pollutions
11 Mar 2014;1394557302;"#Pollution : ""Emmenez les enfants jouer à distance des grands axes"" (!) et résoudre le pb à la source? http://ow.ly/utuV2  cc @tomkerting";fr;AmisDeLaTerre Paris ;@adtparis;443431581324431360;https://twitter.com/adtparis/status/443431581324431360;280775897;AmisDeLaTerre Paris;adtparis;;3;1;pollution OR pollutions
11 Mar 2014;1394557285;Energie durable : Pollution aux particules : plusieurs régions Françaises touchées http://bit.ly/OhREC4 ;fr;POWER Manutention ;@PManutention;443431511740526593;https://twitter.com/PManutention/status/443431511740526593;517734950;POWER Manutention;PManutention;;;;pollution OR pollutions
11 Mar 2014;1394557256;J'étais sur la Rue de Rennes je voyais presque pas la Tour Montparnasse a cause de cette pollution;fr; 🇫🇷CHAMPION DU MONDE  🇫🇷 ;@NicOMhg;443431387996356609;https://twitter.com/NicOMhg/status/443431387996356609;718682784;🇫🇷CHAMPION DU MONDE 🇫🇷;NicOMhg;;;;pollution OR pollutions
11 Mar 2014;1394557191;@kjr1315 Il y a des cultures qui sont quad même extrêmement peu irradié, la pollution à surtout été maritime, mais ça on ne peut -;fr;Miss Rainbow Queen  🌈 ;@PandaBee_;443431116117381120;https://twitter.com/PandaBee_/status/443431116117381120;701454763;Miss Rainbow Queen 🌈;PandaBee_;1;;;pollution OR pollutions
11 Mar 2014;1394557174;RT @PictaNews: Gratuité des transports en cas de pic de pollution ? http://picta.fr/u/1hrf  par @lyoncap;fr;autour2moi Lyon ;@autour2Lyon;443431045652680704;https://twitter.com/autour2Lyon/status/443431045652680704;278938694;autour2moi Lyon;autour2Lyon;;;;pollution OR pollutions
11 Mar 2014;1394557115;“@Airparif: La #pollution en Île-de-France élevée aujourd’hui (indice 85/100) et élevée demain (85/100). http://airparif.fr ”;fr;Denis_BaupinVerified account ;@Denis_Baupin;443430797098614784;https://twitter.com/Denis_Baupin/status/443430797098614784;17271007;Denis_Baupin;Denis_Baupin;;3;;pollution OR pollutions
11 Mar 2014;1394557085;Tour Eiffel va t elle disparaître dans nuage #pollution ? @Anne_Hidalgo @nkm_paris;fr;Sébastien Jédor ;@SebJedorRFI;443430671349190656;https://twitter.com/SebJedorRFI/status/443430671349190656;1425191022;Sébastien Jédor;SebJedorRFI;;;2;pollution OR pollutions
